id,sku,brand,old_type,new_type,sub_type,changed,name
3247,M22032+120067+T16142+16948,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ sen tắm MOEN M22032 kèm 120067, T16142, 16948"
3248,SA1201BL+M22021ABL+T57143BL+R3500BL+HH202022BL+737,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Sen tắm âm MOEN SA1201BL kèm M22021ABL, T57143BL, R3500BL, HH202022BL, 737"
3249,2087,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen âm tường MOEN 2087"
3250,T2085(T2084),MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen âm tường MOEN T2085(T2084)"
3251,T2192BN,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen tắm âm tường nóng lạnh mạ Nikel mờ MOEN Align T2192BN"
3252,TS8814BN,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Sen tắm âm tường MOEN TS8814BN nóng lạnh Bamboo"
3253,M22050+TS3600+S3600(2)+TS3411+S3371,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ vòi sen MOEN M22050 kèm TS3600, S3600(2), TS3411, S3371"
3254,139011/T57140*,MOEN,sen-am-tuong,sen-am-tuong,1-duong,,"Bộ cần sen tắm âm tường Sterope MOEN 139011/T57140*"
3264,WF-0972,American Standard,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh American Standard Milano WF-0972 (WF0972)"
3265,WF-2772,American Standard,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh American Standard Acacia WF-2772 (WF2772)"
3266,WF-3672,American Standard,sen-tam,cu-sen,,YES,"Củ sen tắm nóng lạnh American Standard WF-3672 (WF3672)"
3267,WF-0311,American Standard,sen-tam,cu-sen,,YES,"Sen tắm gắn tường American Standard WF-0311 (WF0311) nóng lạnh"
3268,WF-1311,American Standard,sen-tam,cu-sen,,YES,"Sen tắm gắn tường American Standard WF-1311 (WF1311) nóng lạnh"
3269,WF-0911,American Standard,sen-tam,cu-sen,,YES,"Sen tắm gắn tường American Standard WF-0911 (WF0911) nóng lạnh"
3270,WF-0711,American Standard,sen-tam,cu-sen,,YES,"Sen tắm gắn tường American Standard WF-0711 (WF0711) nóng lạnh"
3271,WF-1312,American Standard,sen-tam,cu-sen,,YES,"Sen tắm gắn tường American Standard WF-1312 (WF1312) nóng lạnh"
3272,WF-1711,American Standard,sen-tam,cu-sen,,YES,"Sen tắm gắn tường American Standard WF-1711 (WF1711) nóng lạnh"
3273,WF-3913,American Standard,sen-tam,cu-sen,,YES,"Sen tắm gắn tường American Standard WF-3913 (WF3913) nóng lạnh"
3274,WF-0715W,American Standard,sen-tam,cu-sen,,YES,"Vòi sen tắm nóng lạnh American Standard WF-0715W (WF0715W)"
3275,WF-3911,American Standard,sen-tam,cu-sen,,YES,"Sen tắm gắn tường nóng lạnh AMERICAN STANDARD WF-3911 (WF3911)"
3276,WF-3912,American Standard,sen-tam,cu-sen,,YES,"Vòi sen nóng lạnh American Standard WF-3912 (WF3912)"
3277,WF-T604,American Standard,sen-tam,cu-sen,,YES,"Vòi sen lạnh American Standard WF-T604 (WFT604)"
