sku,brand,subcategory,old_name,new_name,old_slug,new_slug,slug_changed
"AT-50EHT","ATMOR","may-nuoc-nong","Máy nước nóng gián tiếp kiểu ngang ATMOR AT-30EHT / AT-50EHT AT-50EHT","Máy nước nóng gián tiếp kiểu ngang ATMOR AT-30EHT / AT-50EHT","may-nuoc-nong-gian-tiep-kieu-ngang-atmor-at-30eht-at-50eht-at-50eht","may-nuoc-nong-gian-tiep-kieu-ngang-atmor-at-30eht-at-50eht",YES
"AT-50HR","ATMOR","may-nuoc-nong","Máy nước nóng gián tiếp điều khiển từ xa ATMOR AT-50HR / AT-80HR AT-50HR","Máy nước nóng gián tiếp điều khiển từ xa ATMOR AT-50HR / AT-80HR","may-nuoc-nong-gian-tiep-dieu-khien-tu-xa-atmor-at-50hr-at-80hr-at-50hr","may-nuoc-nong-gian-tiep-dieu-khien-tu-xa-atmor-at-50hr-at-80hr",YES
"INLINE","ATMOR","may-nuoc-nong","Máy nước nóng đa năng (kết hợp gián tiếp và trực tiếp) ATMOR INLINE INLINE","Máy nước nóng đa năng (kết hợp gián tiếp và trực tiếp) ATMOR INLINE","may-nuoc-nong-da-nang-ket-hop-gian-tiep-va-truc-tiep-atmor-inline-inline","may-nuoc-nong-da-nang-ket-hop-gian-tiep-va-truc-tiep-atmor-inline",YES
"LOTUS","ATMOR","may-nuoc-nong","Máy nước nóng trực tiếp 5kW ATMOR LOTUS LOTUS","Máy nước nóng trực tiếp 5kW ATMOR LOTUS","may-nuoc-nong-truc-tiep-5kw-atmor-lotus-lotus","may-nuoc-nong-truc-tiep-5kw-atmor-lotus",YES
"NEW","ATMOR","may-nuoc-nong","Máy nước nóng trực tiếp 5kW ATMOR NEW NEW","Máy nước nóng trực tiếp 5kW ATMOR NEW","may-nuoc-nong-truc-tiep-5kw-atmor-new-new","may-nuoc-nong-truc-tiep-5kw-atmor-new",YES
"AMORE GDP 4500W","Ferroli","may-nuoc-nong","Máy nước nóng trực tiếp Ferroli Amore GDP điều khiển điện tử AMORE GDP 4500W","Máy nước nóng trực tiếp Ferroli Amore GDP điều khiển điện tử","may-nuoc-nong-truc-tiep-ferroli-amore-gdp-dieu-khien-dien-tu-amore-gdp-4500w","may-nuoc-nong-truc-tiep-ferroli-amore-gdp-dieu-khien-dien-tu",YES
"AMORE GSN 4500W","Ferroli","may-nuoc-nong","Máy nước nóng trực tiếp Ferroli Amore GSN điều khiển cơ AMORE GSN 4500W","Máy nước nóng trực tiếp Ferroli Amore GSN điều khiển cơ","may-nuoc-nong-truc-tiep-ferroli-amore-gsn-dieu-khien-co-amore-gsn-4500w","may-nuoc-nong-truc-tiep-ferroli-amore-gsn-dieu-khien-co",YES
"AMORE GSP 4500W","Ferroli","may-nuoc-nong","Máy nước nóng trực tiếp Ferroli Amore GSP bơm tăng áp AMORE GSP 4500W","Máy nước nóng trực tiếp Ferroli Amore GSP bơm tăng áp","may-nuoc-nong-truc-tiep-ferroli-amore-gsp-bom-tang-ap-amore-gsp-4500w","may-nuoc-nong-truc-tiep-ferroli-amore-gsp-bom-tang-ap",YES
"AQUA E 50L","Ferroli","may-nuoc-nong","Máy nước nóng gián tiếp Ferroli Aqua E thể tích lớn chống giật AQUA E 50L","Máy nước nóng gián tiếp Ferroli Aqua E thể tích lớn chống giật","may-nuoc-nong-gian-tiep-ferroli-aqua-e-the-tich-lon-chong-giat-aqua-e-50l","may-nuoc-nong-gian-tiep-ferroli-aqua-e-the-tich-lon-chong-giat",YES
"CUBO E 15L","Ferroli","may-nuoc-nong","Máy nước nóng gián tiếp Ferroli Cubo E chống giật CUBO E 15L","Máy nước nóng gián tiếp Ferroli Cubo E chống giật","may-nuoc-nong-gian-tiep-ferroli-cubo-e-chong-giat-cubo-e-15l","may-nuoc-nong-gian-tiep-ferroli-cubo-e-chong-giat",YES
"DIVO SDN","Ferroli","may-nuoc-nong","Máy nước nóng trực tiếp Ferroli Divo SDN hiển thị nhiệt độ DIVO SDN","Máy nước nóng trực tiếp Ferroli Divo SDN hiển thị nhiệt độ","may-nuoc-nong-truc-tiep-ferroli-divo-sdn-hien-thi-nhiet-do-divo-sdn","may-nuoc-nong-truc-tiep-ferroli-divo-sdn-hien-thi-nhiet-do",YES
"DIVO SDP","Ferroli","may-nuoc-nong","Máy nước nóng trực tiếp Ferroli Divo SDP hiển thị nhiệt độ bơm tăng áp DIVO SDP","Máy nước nóng trực tiếp Ferroli Divo SDP hiển thị nhiệt độ bơm tăng áp","may-nuoc-nong-truc-tiep-ferroli-divo-sdp-hien-thi-nhiet-do-bom-tang-ap-divo-sdp","may-nuoc-nong-truc-tiep-ferroli-divo-sdp-hien-thi-nhiet-do-bom-tang-ap",YES
"DIVO SSN","Ferroli","may-nuoc-nong","Máy nước nóng trực tiếp Ferroli Divo SSN không bơm DIVO SSN","Máy nước nóng trực tiếp Ferroli Divo SSN không bơm","may-nuoc-nong-truc-tiep-ferroli-divo-ssn-khong-bom-divo-ssn","may-nuoc-nong-truc-tiep-ferroli-divo-ssn-khong-bom",YES
"DIVO SSP","Ferroli","may-nuoc-nong","Máy nước nóng trực tiếp Ferroli Divo SSP bơm tăng áp DIVO SSP","Máy nước nóng trực tiếp Ferroli Divo SSP bơm tăng áp","may-nuoc-nong-truc-tiep-ferroli-divo-ssp-bom-tang-ap-divo-ssp","may-nuoc-nong-truc-tiep-ferroli-divo-ssp-bom-tang-ap",YES
"HOT DOG 5L","Ferroli","may-nuoc-nong","Máy nước nóng gián tiếp Ferroli Hot Dog cho chậu bếp HOT DOG 5L","Máy nước nóng gián tiếp Ferroli Hot Dog cho chậu bếp","may-nuoc-nong-gian-tiep-ferroli-hot-dog-cho-chau-bep-hot-dog-5l","may-nuoc-nong-gian-tiep-ferroli-hot-dog-cho-chau-bep",YES
"QQ ME 15L","Ferroli","may-nuoc-nong","Máy nước nóng gián tiếp Ferroli QQ ME 15L / 20L / 30L chống giật QQ ME 15L","Máy nước nóng gián tiếp Ferroli QQ ME 15L / 20L / 30L chống giật","may-nuoc-nong-gian-tiep-ferroli-qq-me-15l-20l-30l-chong-giat-qq-me-15l","may-nuoc-nong-gian-tiep-ferroli-qq-me-15l-20l-30l-chong-giat",YES
"VERDI-AE 15L","Ferroli","may-nuoc-nong","Máy nước nóng gián tiếp Ferroli Verdi AE VERDI-AE 15L","Máy nước nóng gián tiếp Ferroli Verdi AE","may-nuoc-nong-gian-tiep-ferroli-verdi-ae-verdi-ae-15l","may-nuoc-nong-gian-tiep-ferroli-verdi-ae",YES
"VERDI-AG+ 15L","Ferroli","may-nuoc-nong","Máy nước nóng gián tiếp Ferroli Verdi AG+ VERDI-AG+ 15L","Máy nước nóng gián tiếp Ferroli Verdi AG+","may-nuoc-nong-gian-tiep-ferroli-verdi-ag-verdi-ag-15l","may-nuoc-nong-gian-tiep-ferroli-verdi-ag",YES
"VERDI-DE 15L","Ferroli","may-nuoc-nong","Máy nước nóng gián tiếp Ferroli Verdi DE VERDI-DE 15L","Máy nước nóng gián tiếp Ferroli Verdi DE","may-nuoc-nong-gian-tiep-ferroli-verdi-de-verdi-de-15l","may-nuoc-nong-gian-tiep-ferroli-verdi-de",YES
"VERDI-TE 15L","Ferroli","may-nuoc-nong","Máy nước nóng gián tiếp Ferroli Verdi TE VERDI-TE 15L","Máy nước nóng gián tiếp Ferroli Verdi TE","may-nuoc-nong-gian-tiep-ferroli-verdi-te-verdi-te-15l","may-nuoc-nong-gian-tiep-ferroli-verdi-te",YES
